Code, Description
1316, Victim Entering Their Vehicle
1317, Victim Exiting Their Vehicle
1318, Suspect Follows Victim Home
1401, Blood Stains
1402, Evidence Booked (Any Crime)
1403, Fingerprints
1404, Footprints
1405, Left Note
1406, Tool Marks
1407, Bullets/casings
1408, Bite Marks
1409, Clothes
1410, Gun Shot Residue
1411, Hair
1412, Jewellery
1413, Paint
1414, Photographs
1415, Rape Kit
1416, Saliva
1417, Semen
1418, Skeleton/bones
1419, Firearm Booked as Evidence
1420, Video Surveillance Booked/available
1501, Other Mo (See Rpt)
1601, Bodily Force
1602, Cutting Tool
1603, Knob Twist
1604, Lock Box
1605, Lock Slip/key/pick
1606, Open/unlocked
1607, Pried
1608, Removed
1609, Smashed
1610, Tunnelled
1611, Shaved Key
1612, Punched/pulled Door Lock
1701, Elder Abuse/physical
1702, Elder Abuse/financial
1801, Suspect Is/was Mother's Boyfriend
1802, Suspect Is/was Victim's Co-worker
1803, Suspect Is/was Victim's Employee
1804, Suspect Is/was Victim's Employer
1805, Suspect Is/was Fellow Gang Member
1806, Suspect Is/was Father's Girlfriend
1807, Suspect Is/was Priest/pastor
1808, Suspect Is/was Other Religious Confidant
1809, Suspect Is/was Rival Gang Member
1810, Suspect Is/was Roommate
1811, Suspect Is/was Victim's Teacher/coach
1812, Suspect Is/was Foster Parent/sibling
1813, Suspect Is/was Current/former Spouse/co-habitant
1814, Suspect Is/was Current/former Boyfriend/girlfriend
1815, Suspect Was Student
1816, Suspect Is/was Known Gang Member
1817, Acquaintance
1818, Caretaker/care-giver/nanny
1819, Common-law Spouse
1820, Friend
1821, Spouse
1822, Stranger
1823, Brief Encounter/date
1824, Classmate
1900, Auction Fraud/eBay/Craigslist; Etc. (Internet Based Theft)
1901, Child Pornography/in Possession of/via Computer
1902, Credit Card Fraud/theft of Services via Internet
1903, Cyberstalking (Stalking Using Internet to Commit the Crime)
1904, Denial of Computer Services
1905, Destruction of Computer Data
1906, Harrassing E-mail/text Message/other Electronic Communications
1907, Hate Crime Materials/printouts/e-mails
1908, Identity Theft via Computer
1909, Introduction of Virus or Contaminants Into Computer System/program
1910, Minor Solicited for Sex via Internet/known Minor
1911, Theft of Computer Data
1912, Threatening E-mail/text Messages
1913, Suspect Meets Victim on Internet/chatroom
1914, Unauthorized Access to Computer System
1915, Internet Extortion
1916, Victim Paid by Wire Transfer
2000, Domestic Violence
2001, Suspect on Drugs
2002, Suspect Intoxicated/drunk
2003, Suspect 5150/mentally Challenged or Disturbed
2004, Suspect Is Homeless/transient
2005, Suspect Uses Wheelchair
2006, Suspect Was Transgender
2007, Suspect Was Homosexual/gay
2008, in Possession of a Ballistic Vest
2009, Suspect Was Inmate/incarcerated
2010, Suspect Was Jailer/police Officer
2011, Vendor (Street or Sidewalk)
2012, Suspect Was Costumed Character (E.g.; Barney; Darth Vader; Spiderman; Etc.)
2013, Tour Bus/van Operator
2014, Suspect Was Uber/lyft Driver
2015, Suspect Was Foster Child
2016, Suspect Was Train Operator
2017, Suspect Was Mta Bus Driver
2018, Cannabis Related
2019, Theft of Animal (Non-livestock)
2020, Mistreatment of Animal
2021, Suspect Was Aged (60+over)
2022, Suspect Was Hitchhiker
2023, Suspect Was Prostitute
2024, Suspect Was Juvenile
2025, Suspect Was Bisexual
2026, Suspect Was Deaf/hearing Impaired
2027, Suspect Was Pregnant
2028, Suspect Was Repeat/known Shoplifter
2029, Victim Used Profanity
2030, Victim Used Racial Slurs
2031, Victim Used Hate-related Language
2032, Victim Left Property Unattended
2033, Victim Refused to Cooperate W/investigation
2034, Victim Was Asleep/unconscious
2035, Racial Slurs
2036, Hate-related Language
2037, Temporary/vacation Rental (Airbnb; Etc)
2038, Restraining Order in Place Between Suspect and Victim
2039, Victim Was Costumed Character (E.g.; Barney; Darth Vader; Spiderman; Etc.)
2040, Threats via Social Media
2041, Harassment via Social Media
2042, Victim Staying at Short-term Vacation Rental
2043, Victim Is Owner of Short-term Vacation Rental
2044, Suspect Staying at Short-term Vacation Rental
2045, Suspect Is Owner of Short-term Vacation Rental
2046, Suspect Damaged Property Equal to or Exceeding $25;000
2047, Victim Was Injured Requiring Transportation Away From Scene for Medical Reasons
2048, Victim Was on Transit Platform
2049, Victim Was Passenger on Bus
2050, Victim Was Passenger on Train
2051, Suspect Was Passenger on Bus
2052, Suspect Was Passenger on Train
9999, Indistinctive Mo
2100, Observation/surveillance
2101, Counter Surveillance Efforts
2102, Questions About-security Procedures
2103, Appears to Take Measurements
2104, Photography (Pics or Video Footage)
2105, Draws Diagrams or Takes Notes
2106, Abandons Suspecticious Package/item
2107, Abandons Vehicle Restricted Area
2108, Enters Restricted Area W/o Authorization
2109, Testing or Probing of Security
2110, Contraband at Security Check Point
2111, Suspect Purchase of Legal Materials
2112, Acquires Restricted Items/information
2113, Acquires Illegal Explosive/precur Agents
2114, Acquires Illegal Chemical Agent
2115, Acquires Illegal Biological Agents
2116, Acquires Illegal Rediological Material
2117, Uses Explosives for Illegal Purposes
2118, Uses Chemical Agent Illegally
2119, Uses Biological Agent Illegally
2120, Uses Radiological Material Illegally
2121, Acquires Uniforms Without Legit Reason
2122, Acquires Official Vehicle Without Legit Reason
2123, Pursues Training/education With Suspect Motives
2124, Large Unexplained Sum of Currency
2125, Multiple Passports/id's/travel Documents
2126, Expressed or Implied Threats
2127, Brags About Affiliation With Extremist Organization
2128, Coded Conversation or Transmission
2129, Overt Support of Terrorist Network
2130, Uses Facsimile/hoax Explosive Device (Suspect Offer/solicts)
2131, Uses Facsimile/hoax Dispersal Device (Suspect Offer/solicts)
2135, Sensitive Event Schedules(Suspect Offer/solicts)
2136, Vip Appearance or Travel Schedules (Suspect Offer/solicts)
2137, Security Schedules (Suspect Offer/solicts)
2138, Blueprints/building Plans (Suspect Offer/solicts)
2139, Evacuation or Emergency Plans (Suspect Offer/solicts)
2140, Security Plans (Suspect Offer/solicts)
2141, Weapons or Ammunition (Suspect Offer/solicts)
2142, Explosive Materials(Suspect Offer/solicts)
2143, Illicit Chemical Agents (Suspect Offer/solicts)
2144, Illicit Biological Agents (Suspect Offer/solicts)
2145, Illicit Radiological Material (Suspect Offer/solicts
2146, Other Sensitive Materials (Suspect Offer/solicts)
2150, Coded/ciphered Literature/correspondence
2151, Sensitive Event Schedules (Suspect in Possession)
2152, Vip Appearance or Travel Schedules (Suspect in Possession)
2153, Security Schedules (Suspect in Possession)
2154, Blueprints/building Plans (Suspect in Possession)
2155, Evacuation or Emergency Plans (Suspect in Possession)
2156, Security Plans (Suspect in Possession)
2157, Weapons or Ammunition (Suspect in Possession)
2158, Explosive Materials (Suspect in Possession)
2159, Illicit Chemical Agents (Suspect in Possession)
2160, Illicit Biological Agents (Suspect in Possession)
2161, Illicit Radiological Material (Suspect in Possession)
2162, Other Sensitive Materials (Suspect in Possession)
2163, Facsimile/hoax Explosive Device (Suspect in Possession)
2164, Facsimile/hoax Dispersal Device (Suspect in Possession)
2170, Associates With Known/suspect Terrorist
2171, Corresponds W/suspected Terrorist
2172, in Photos W/suspected Terrorists
2173, Organization Supports Overthrow/violent Acts
2180, Bomb/explosive Device
2181, Biological Agent
2182, Chemical Agent
2183, Radiological Matter
2184, Military Ordinance
2185, Incendiary Device
2186, Pyrotechnics
2187, Facsimile/hoax Device
2190, Financing Terrorism
2191, Victim's Religion
2192, Victim's National Origin
2193, Influencing Societal Action
2194, Furthering Objectives by Force
2197, Ssi - Food/agriculture
2198, Pipeline
2199, Ssi - Postal/shipping/mailbox
2200, Ssi - Government Facilities/bldg.
2201, Church
2202, Synagogue
2203, University
2204, School
2205, Sports Venue
2206, Theater
2207, Amusement Park
2208, Shopping Mall
2209, Convention Center
2210, Mass Gathering Location
2211, Bridge
2212, High-rise Building
2213, Airport
2214, Freight Train
2215, Train Tracks
2216, Ssi - Chemical Storage/manufacturing Plant
2217, Ssi - Telecommunication Facility/location
2218, Ssi - Energy Plant/facility
2219, Ssi - Water Facility
2220, Sewage Facility/pipe
2221, Ssi - Nuclear Facility; Reactors; Materials & Waste
2222, Ssi - Dam/reservoir
2223, Ssi - National Monuments/icon/cultural Significance
2224, Tactical Significance
2225, Ssi - Healthcare & Public Health/hospital/medical Clinic
2226, Abortion Clinic
2227, Ssi - Defense Industrial Base/facility
2228, Ssi - Transportation System
2229, Ssi - Commercial Facilities
2230, Ssi - Information Technology
2231, Ssi - Banking and Finance
2232, Ssi - Critical Manufacturing
2233, Ssi - Emergency Services
2234, Ssi - Waste
2301, Breach/attempted Intrusion
2302, Misrepresentation
2303, Theft/loss/diversion
2304, Sabotage/tampering/vandalism
2305, Cyber Attack
2306, Espouses Violent Extremist Views
2307, Aviation Activity
2308, Eliciting Information
2309, Recruiting
2310, Materials
2311, Acquisition of Expertise
2312, Weapons Discovery
2313, Finance
2314, Tsc Hit
2315, Sector-specific Incident (Ssi)
3001, T/c - Veh Vs Non-collision
3002, T/c - Officer Involved T/c
3003, T/c - Veh Vs Ped
3004, T/c - Veh Vs Veh
3005, T/c - Veh Vs Veh on Other Roadway
3006, T/c - Veh Vs Parked Veh
3007, T/c - Veh Vs Train
3008, T/c - Veh Vs Bike
3009, T/c - Veh Vs M/c
3010, T/c - Veh Vs Animal
3011, T/c - Veh Vs Fixed Object
3012, T/c - Veh Vs Other Object
3013, T/c - M/c Vs Veh
3014, T/c - M/c Vs Fixed Object
3015, T/c - M/c Vs Other
3016, T/c - Bike Vs Veh
3017, T/c - Bike Vs Train
3018, T/c - Bike Vs Other
3019, T/c - Train Vs Veh
3020, T/c - Train Vs Train
3021, T/c - Train Vs Bike
3022, T/c - Train Vs Ped
3023, T/c - Train Vs Fixed Object
3024, T/c - (a) Severe Injury
3025, T/c - (B) Visible Injury
3026, T/c - (C) Complaint of Injury
3027, T/c - (K) Fatal Injury
3028, T/c - (N) Non Injury
3029, T/c - Hit and Run Fel
3030, T/c - Hit and Run Misd
3032, T/c - Private Property - Yes
3033, T/c - Private Property - No
3034, T/c - City Property Involved - Yes
3035, T/c - City Property Involved - No
3036, T/c - at Intersection - Yes
3037, T/c - at Intersection - No
3038, T/c - Dui Felony
3039, T/c - Dui Misdemeanor
3040, T/c - Resulting From Street Racing/speed Exhibition
3062, T/c - Bicyclist in Bicycle Lane
3101, T/c - Pcf (a) in the Narrative
3102, T/c - Pcf (B) Other Improper Driving
3103, T/c - Pcf (C) Other Than Driver
3104, T/c - Pcf (D) Unk
3201, T/c - Weather/lighting/roadway
3301, T/c - Traffic Control Devices
3401, T/c - Type of Collision
3501, T/c - Ped Actions
3601, T/c - Special Information and Other
3602, T/c - Unlicensed Motorist
3603, T/c - Bicyclists Colliding Into Opened Vehicle Door
3701, T/c - Movement Preceding Collision
3801, T/c - Sobriety
3901, T/c - Safety Equipment
4001, T/c - Central
4002, T/c - Rampart
4003, T/c - Southwest
4004, T/c - Hollenbeck
4005, T/c - Harbor
4006, T/c- Hollywood
4007, T/c - Wilshire
4008, T/c - West Los Angeles
4009, T/c - Van Nuys
4010, T/c - West Valley
4011, T/c - Northeast
4012, T/c - 77th
4013, T/c - Newton
4014, T/c - Pacific
4015, T/c - North Hollywood
4016, T/c - Foothill
4017, T/c - Devonshire
4018, T/c - Southeast
4019, T/c - Mission
4020, T/c - Olympic
4021, T/c - Topanga
4024, T/c - Central Traffic (Ctd)
4025, T/c - South Traffic (Std)
4026, T/c - Valley Traffic (Vtd)
4027, T/c - West Traffic (Wtd)
